ACTUAL	CHEFLIEU	CDC	RANG	REG	DEP	COM	AR	CT	MODIF	POLE	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR	ARTICLCT	NCCCT	MOD	MANIP
1	0	0		82	07	254	1	33	1		0		SAINT-JULIEN-DU-SERRE		Saint-Julien-du-Serre		Vals-les-Bains	42	M
1	0	0		82	07	259	2	04	1		0		SAINT-JUST-D'ARDECHE		Saint-Just-d'Ardèche		Bourg-Saint-Andéol	10	M
1	0	0		82	07	263	1	29	1		0		SAINT-LAURENT-SOUS-COIRON		Saint-Laurent-sous-Coiron		Villeneuve-de-Berg	42	M
1	0	0		82	07	272	1	29	1		0		SAINT-MAURICE-D'ARDECHE		Saint-Maurice-d'Ardèche		Villeneuve-de-Berg	42	M
1	0	0		82	07	273	1	29	1		0		SAINT-MAURICE-D'IBIE		Saint-Maurice-d'Ibie		Villeneuve-de-Berg	42	M
1	0	0		82	07	277	1	33	1		0		SAINT-MICHEL-DE-BOULOGNE		Saint-Michel-de-Boulogne		Vals-les-Bains	42	M
1	0	0		82	07	279	2	04	1		0		SAINT-MONTAN		Saint-Montan		Bourg-Saint-Andéol	10	M
1	0	0		82	07	287	1	29	1		0		SAINT-PONS		Saint-Pons		Villeneuve-de-Berg	42	M
1	0	0		82	07	289	1	33	1		0		SAINT-PRIVAT		Saint-Privat		Vals-les-Bains	42	M
1	0	0		82	07	296	1	03	1		0		SAINT-SERNIN		Saint-Sernin		Aubenas	42	M
1	0	0		82	07	325	1	33	1		1		UCEL		Ucel		Vals-les-Bains	42	M
1	1	0		82	07	331	1	33	1		0		VALS-LES-BAINS		Vals-les-Bains		Vals-les-Bains	42	M
1	0	0		82	07	339	1	33	1		0		VESSEAUX		Vesseaux		Vals-les-Bains	42	M
1	1	0		82	07	341	1	29	1		0		VILLENEUVE-DE-BERG		Villeneuve-de-Berg		Villeneuve-de-Berg	42	M
1	0	0		82	07	348	1	29	1		0		VOGUE		Vogüé		Villeneuve-de-Berg	42	M
1	0	0		21	08	386	2	06	1		0		SAINT-LOUP-EN-CHAMPAGNE		Saint-Loup-en-Champagne		Château-Porcien	10	M
1	0	0		73	09	107	2	10	1		0		DUN		Dun		Mirepoix	36	M
3				73	09	112			1	09107	1		ENGRAVIES		Engraviès			35	M
3				73	09	191			1	09107	0		MERVIEL		Merviel			35	M
3				73	09	288			1	09107	0		SENESSE-DE-SENABUGUE		Senesse-de-Senabugue			35	M
1	0	0		21	10	038	2	13	1		0		BERCENAY-LE-HAYER		Bercenay-le-Hayer		Marcilly-le-Hayer	21	M
1	0	0		21	10	054	2	13	1		0		BOURDENAY		Bourdenay		Marcilly-le-Hayer	12	M
1	0	0		21	10	263	3	11	1		0		NEUVILLE-SUR-VANNE		Neuville-sur-Vanne		Estissac	10	M
1	0	0		21	10	264	3	10	1		0		NOE-LES-MALLETS		Noé-les-Mallets		Essoyes	10	M
1	0	0		21	10	383	2	13	1		0		TRANCAULT		Trancault		Marcilly-le-Hayer	21	M
1	0	0		73	12	133	2	45	1		0		LUC-LA-PRIMAUBE		Luc-la-Primaube		Rodez-Ouest	10	M
6	1	1	3	93	13	005	3	05	0		1		AUBAGNE		Aubagne		Aubagne-Ouest	24	A
6	1	1	3	93	13	005	3	54	0		1		AUBAGNE		Aubagne		Aubagne-Est	24	A
1	1	2	3	93	13	005	3	94	1		1		AUBAGNE		Aubagne		Canton non précisé	24	A
1	0	0		93	13	022	3	54	1		0		CASSIS		Cassis		Aubagne-Est	43	M
1	0	0		93	13	030	3	54	1		0		CUGES-LES-PINS		Cuges-les-Pins		Aubagne-Est	43	M
1	0	0		93	13	042	3	54	1		0		GEMENOS		Gémenos		Aubagne-Est	43	M
6	1	1	2	93	13	055	3	13	0		0		MARSEILLE		Marseille		Marseille-Belsunce	24	A
6	1	1	2	93	13	055	3	14	0		0		MARSEILLE		Marseille		Marseille - Notre-Dame-du-Mont	24	A
6	1	1	2	93	13	055	3	15	0		0		MARSEILLE		Marseille		Marseille III	37	S
6	1	1	2	93	13	055	3	16	0		0		MARSEILLE		Marseille		Marseille-Les Grands-Carmes	24	A
6	1	1	2	93	13	055	3	17	0		0		MARSEILLE		Marseille		Marseille-La Belle-de-Mai	24	A
6	1	1	2	93	13	055	3	18	0		0		MARSEILLE		Marseille		Marseille-Les Cinq-Avenues	24	A
6	1	1	2	93	13	055	3	19	0		0		MARSEILLE		Marseille		Marseille-Le Camas	24	A
6	1	1	2	93	13	055	3	20	0		0		MARSEILLE		Marseille		Marseille VIII	37	S
6	1	1	2	93	13	055	3	21	0		0		MARSEILLE		Marseille		Marseille - Saint-Just	24	A
6	1	1	2	93	13	055	3	22	0		0		MARSEILLE		Marseille		Marseille-Montolivet	24	A
6	1	1	2	93	13	055	3	23	0		0		MARSEILLE		Marseille		Marseille-La Capelette	24	A
6	1	1	2	93	13	055	3	24	0		0		MARSEILLE		Marseille		Marseille - Saint-Giniez	24	A
6	1	1	2	93	13	055	3	37	0		0		MARSEILLE		Marseille		Marseille - Saint-Lambert	24	A
6	1	1	2	93	13	055	3	38	0		0		MARSEILLE		Marseille		Marseille - Saint-Mauront	24	A
6	1	1	2	93	13	055	3	39	0		0		MARSEILLE		Marseille		Marseille-Verduron	24	A
6	1	1	2	93	13	055	3	40	0		0		MARSEILLE		Marseille		Marseille-La Rose	24	A
6	1	1	2	93	13	055	3	41	0		0		MARSEILLE		Marseille		Marseille-Les Olives	24	A
6	1	1	2	93	13	055	3	42	0		0		MARSEILLE		Marseille		Marseille - Saint-Marcel	24	A
6	1	1	2	93	13	055	3	43	0		0		MARSEILLE		Marseille		Marseille-La Pomme	24	A
6	1	1	2	93	13	055	3	44	0		0		MARSEILLE		Marseille		Marseille-La Pointe-Rouge	24	A
6	1	1	2	93	13	055	3	45	0		0		MARSEILLE		Marseille		Marseille - Saint-Barthélemy	24	A
6	1	1	2	93	13	055	3	46	0		0		MARSEILLE		Marseille		Marseille-Mazargues	24	A
6	1	1	2	93	13	055	3	55	0		0		MARSEILLE		Marseille		Marseille-La Blancarde	24	A
6	1	1	2	93	13	055	3	56	0		0		MARSEILLE		Marseille		Marseille-Les Trois Lucs	24	A
6	1	1	2	93	13	055	3	57	0		0		MARSEILLE		Marseille		Marseille - Notre-Dame-Limite	24	A
6	1	1	2	93	13	055	3	58	0		0		MARSEILLE		Marseille		Marseille - Sainte-Marguerite	24	A
6	1	1	2	93	13	055	3	59	0		0		MARSEILLE		Marseille		Marseille-Vauban	24	A
1	4	2	2	93	13	055	3	99	1		0		MARSEILLE		Marseille		Canton non précisé	24	A
1	0	0		93	13	085	3	54	1		0		ROQUEFORT-LA-BEDOULE		Roquefort-la-Bédoule		Aubagne-Est	43	M
1	0	0		93	13	119	3	54	1		0		CARNOUX-EN-PROVENCE		Carnoux-en-Provence		Aubagne-Est	43	M
1	0	0		25	14	106	2	47	1		0		BREVILLE-LES-MONTS		Bréville-les-Monts		Cabourg	10	M
3				25	14	133			1	14431	0		CANON		Canon			35	M
1	0	0		25	14	149	2	06	1		0		CESNY-AUX-VIGNES		Cesny-aux-Vignes		Bourguébus	12	M
1	1	0		25	14	431	3	24	1		0		MEZIDON-CANON		Mézidon-Canon		Mézidon-Canon	36	M
1	0	0		25	14	482	2	06	1		1		OUEZY		Ouézy		Bourguébus	21	M
